Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255737702621","JECO5069","Decor","Jeco","Rose","","Rose","","","Blue","","3","","","","","","","","","","","","CFZ-075_12","","","","","","","",
"255728824040","JECO4560","Decor","Jeco","Rose","","Rose","","","Blue","","3","","","","","","","","","","","","CFZ-075_12_0","","","","","","","",
"255513496932","JECO4843","Decor","Jeco","","","","","","White","","3","","","","","","","","","","","","CFZ-076_12","","","","","","","",
"255513099447","JECO4562","Decor","Jeco","","","","","","White","","3","","","","","","","","","","","","CFZ-076_12_0","","","","","","","",
"265644693943","JECO4999","Decor","Jeco","","","","","","White","","","","","","","","","","","","","","CFZ-077_6","","","","","","","",
"255509973223","JECO5088","Decor","Jeco","Orange","","","","","Orange","","4","","","","","","","","","","","","CFZ-082_8","","","","","","","",
"255509827543","JECO5079","Decor","Jeco","","","","","","","","4","","","","","","","","","","","","CFZ-086_8","","","","","","","",
"265644662525","JECO5085","Decor","Jeco","","","","","","Green","","4","","","","","","","","","","","","CFZ-088_8","","","","","","","",
"265665488007","JECO5094","Decor","Jeco","","","","","","","","4","","","","","","","","","","","","CFZ-089_8","","","","","","","",
"265669129921","JECO5071","Decor","Jeco","Rose","","Rose","","","Silver","","3","","","","","","","","","","","","CFZ-102_12","","","","","","","",
"255534596092","JECO4568","Decor","Jeco","Rose","","Rose","","","Silver","","3","","","","","","","","","","","","CFZ-102_12_0","","","","","","","",
"265669325030","JECO5000","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-103_12","","","","","","","",
"265669208655","JECO4569","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-103_12_0","","","","","","","",
"265883871885","JECO5001","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-104_12","","","","","","","",
"255509743521","JECO4573","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-104_12_0","","","","","","","",
"255518062436","JECO5002","Decor","Jeco","Orange","","","","","Clear","","3","","","","","","","","","","","","CFZ-105_12","","","","","","","",
"265668972844","JECO4575","Decor","Jeco","Orange","","","","","Clear","","3","","","","","","","","","","","","CFZ-105_12_0","","","","","","","",
"255737690644","JECO5003","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-106_12","","","","","","","",
"265674028661","JECO4577","Decor","Jeco","","","","","","Clear","","3","","","","","","","","","","","","CFZ-106_12_0","","","","","","","",
"265887645512","JECO5004","Decor","Jeco","Rose","","Rose","","","Clear","","3","","","","","","","","","","","","CFZ-107_12","","","","","","","",
"255737771252","JECO4578","Decor","Jeco","Rose","","Rose","","","Clear","","3","","","","","","","","","","","","CFZ-107_12_0","","","","","","","",
